subs_id;V2;V4;V5;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;V29;V30;V31;V32;Gender
183721114dab116fbaf2a3204f744746bbcbb199e7a11d37cf49c151d98a6034;01.07.2015;3508;15;0.8529772;0;0.4914743;NA;0.3333333;0;0.6823011;0.2254318;0.175487;0;0;0;166.7662;162.3979;0.02333333;0.5805832;0.473169;0.4443555;0;0;0.4230021;0;0.2;0;Female
fd77444abf14537778af770392f67882c0b1604fad82dfcb9425c699535b91af;01.03.2015;3508;15;70.04804;67.23939;29.44124;NA;0.4458366;0.2763155;683.03;681.0867;01.02.1946;0;0;0.8356294;636.0868;625.5737;7.365156;1.752365;8.347803;1.596783;0;0.01766605;0.7183803;0;1.110281;0.9181291;Male
de6302921ac156d0ce43c30236de7384f2a03d6465c082914b58e00bfbd54e06;01.09.2015;3508;15;57.40215;67.29078;30.87054;30.83381;0.7129029;0.9716549;527.8602;523.501;3.697046;227.6795;0.9770303;0.2666667;335.0511;297.711;27.44221;1.962289;19.2784;0;0.805132;9.803658;0.6640308;0;0.6133333;0.3138119;Male
d4f4cd3e77a3c1f2405726bb7123c523651391bac8474db6094a766ac13e3e8a;01.09.2015;3508;15;53.61982;46.93018;21.29757;0.3333333;2.881817;6.606303;147.6837;147.6865;0.74;0.1156443;0;0.3923557;396.4065;386.0689;0.1733333;0.8644793;1.175273;0.9970061;0.9764738;0.5501889;0.2883747;0.1766667;0.00244357;0;Female
bd5623f4c1e0e134b33673aff084ae0d7516a554c92bf14c23116f85dcd256d9;01.09.2015;515;15;177.1632;200.1843;30.87845;29.54294;30.59613;171.7593;458.7931;448.3199;11.20088;512.3368;0;0.1260378;376.4749;362.4515;5.535098;2.02923;4.29337;0;0.9369478;0;0;0;2.419758;0;Male
a3a3c1b543b1f726a542177c216bf9871559fc3331e62b6c4457ebc40836ba58;01.05.2015;1443;15;155.6014767;159.211613;24.51800846;0;0.927919243;0;207.6701991;150.5709958;0.176255154;0.087012458;57.61727481;0;321.8301605;323.5089261;0.833595224;1.212538148;NA;0;130.4315971;0;0.530664158;0.749921119;0.52;0;Female
2a5a7d1b189475174d09dcdac70241dac01d95d7b853e3f6b6121bf770debd70;01.05.2015;1443;15;16.66177;6.666872;24.48204;0.8107951;0.08930823;0.1218713;484.3462;481.2898;1.99148;0;0.4906852;0.3336718;374.802;360.2623;0;2.354225;NA;0;0.6029923;0.8323459;0.2168319;4.455448;0.01666667;0;Female
c9b8da5a1ed61f22582b30866046342b47c8252b28a2f6a9197f6d69656471f8;01.04.2015;1443;15;133.3475;112.6025;30.15629;0.9521287;1.786421;2.033269;310.8345;299.3643;12.05905;0.02333333;0;0.6355053;348.1356;332.5071;15.93176;0.9338146;12.85277;0;0.7888317;0;0;7.032806;0.9275755;0.9930227;Male
abe99ea2475da4084447e7831dc69b3a6a37b709b8636d468972faae216cc115;01.03.2015;1443;15;47.79818;46.96806;9.872768;NA;0;0.3638318;32.67669;16.72746;17.38301;162.0834;0.9334254;0.7779834;6.105115;5.344329;2.015696;0;1.776754;4.204656;0.6692657;0.1218948;1.211328;21.07681;0.01666667;0.3365994;Male
e3ae4561a098ff766394f4bedbdd03fa409ce7dcadffd38b98442b81a9631c1f;01.03.2015;3660;15;28.14119852;29.84382712;13.60069972;0.333333333;0.85079994;0.969538344;56.1787114;47.06137201;0.961639312;0.09;0;0.692299728;442.9987241;429.6568702;11.42871651;0;7.52245854;1.806462549;0;0;0;12.13807681;1.003759414;0;Female
ef61d5e67e3bac32f84191c87ff5fae4a44433007c6333c3f0c204f787b7398b;01.07.2015;3660;15;37.93721;46.26893;13.18832;1.860677;0.4182433;0;124.9645;119.417;5.809902;0.1095177;0;0;134.0039;132.7867;1.345852;0;0.4608471;0.6731469;0;0;0.4679858;0;0.7576774;0.2342973;Male
10e0b79a191887992fddd3fd12994bede4b99c84c055a7a9fa33a08e275d4898;01.03.2015;580;15;49.78001;31.68982;27.20897;0.3333333;0.7202277;0.9958406;805.3403;803.0594;0.1039553;0.006666667;0.06666667;0.3085094;1597.683;1595.242;0.3694199;1.18142;0.6666667;0.9049741;3.781833;0;0.2655241;17.12862;0.7024279;0.7278919;Male
2c4c31087f5b10d40d91bcdc306dae85be91c10cc18a533286529840db30ec03;01.07.2015;932;15;51.52127633;49.55706422;29.62329609;1.637027753;0;0;1238.149037;1230.777972;6.358797071;0.01;0.182248441;0;255.9817987;242.1833311;13.95913834;0.138133964;12.95558816;0.285331853;0;0;1.663603255;2.713578098;0.05;0;Female
7915eb824af33a94cb4f968ee4726e85c540c60e8584a8095ba1035171d3b8f2;01.09.2015;12;15;14.35212;13.15916;7.227588;0.3333333;0.867615;0.3333333;29.72886;29.38835;0;0.4607046;0;0.6219492;349.8987;347.6833;2.097893;0;1.657807;0.3942396;0.9991423;0.9729441;0.7590822;NA;0.12;0.3850748;Female
d739f500342329620ab92cc5641f0d0506bd7c9de5191ef32c900be022bae199;01.03.2015;6894;15;0.6366667;0;0.2970602;0;0.9410406;0;0.24;0.05177252;0.7909375;0;0.3619173;0;0.07794118;0.5;0.0946866;0.2554267;0;0;0;0.309608;0.3214476;0.18;0.08333333;0.381879;Male
5343f2212cc3ea308864605561e82d7311ae8002a9a0058aac0a6c0c3b813fbf;01.04.2015;6894;15;33.50981;39.11212;26.00756;2.080023;0.6666667;18.05606;159.2227;155.345;2.193936;0.8102069;0.3522957;0;172.9687;169.3685;3.614795;0;5.535831;0;0;0.1106577;4.201326;12.46948;1.389514;0.4136845;Female
a51346c3477509fe523188e773a3e73ede21c2c832b4a0e2b6856a130f746b15;01.02.2015;6894;15;39.9343;33.23439;22.75721;4.536403;3.822255;4.096617;103.9044;72.7829;30.00409;0.01666667;0.1355313;0;183.6682;168.7133;8.006903;1.894988;10.05883;3.900527;0.09454957;0;8.775276;0.8438509;0.2820828;1.166935;Female
a6648aaeab78de734ca7744f34f80f84e65ff4cf4420f1735ac7934c56ed543d;01.03.2015;6894;15;19.25144;18.76937;20.8215;0;0;0;337.6801;336.4758;0.4272834;0;0.1007155;0.3339196;189.3633;190.3781;0.5144177;0;0;0;0.2692837;0.6555429;0;0.4383459;0;0.1739763;Male
946f2a8554e54fcdc23e4a516bbaf05263c009e856d879caafdfb3eca18bcf29;01.03.2015;779;15;21.70876;27.55916;25.27012;0.3333333;2.325098;3.436663;579.8938;580.3;0.3935669;0.07666667;1.398447;0;784.8821;769.3979;8.260644;1.594242;1.96097;1.604092;1.038728;0;0.3;0.2101149;0;0.413337;Female
ee87122eabfdbc1bd4231184eb878f00dd3dd3006758bc7ec6191f776d0bc1a5;01.01.2015;2078;15;45.4954;39.99578;20.83151;0;0;0.4479469;92.39262;87.80086;4.205234;0.08660449;0.1833333;0;214.9318;211.2278;0.6266667;1.152579;0.76583;0.8356905;2.898462;0;0.6451344;01.11.1948;2.704553;0.08443796;Female
2f5012a099e1a87297e8cbd0cd95c73326e7e28610d8c1019b848940b090b370;01.03.2015;2078;15;8.401881;12.03855;27.71621;NA;0.4599212;0;233.1074;234.4507;0;60.76139;0;0.2686344;118.2499;116.2845;0;0.478909;0.2882267;4.567332;0.1671186;0.9014445;0.1788463;0.7352601;0;0.6045575;Female
3f7deeee9f56c53f27c8dda4fba744a0b501165e5438a51a5023b140574ee151;01.09.2015;1241;15;55.67113;39.1075;28.18883;0.05704169;1.862167;1.133574;1183.079;1178.661;4.182074;25.02609;0;0;103.8515;102.3478;1.483761;0.6230193;2.14798;1.802421;0;0;3.084251;0;0.6184986;0;Female
dc1e01b8f2f22f4cc97c8814b1ec0d0ee0f60a6eee9ddc955223d3c4e7dfe0db;01.07.2015;6766;15;7.773875;0.9518105;17.68763;0;0;0;81.08928;81.30976;0;0.4485881;0;0.5705308;177.2064;176.5214;2.167847;0.1073491;0.9712454;0.3677492;0;0.358188;0.3904591;0.09352605;0;0;Female
aff3304a9a5dd0089b1f22963821c53eb1772240f0a061a9ae1e52db89c78716;01.03.2015;1834;15;37.05897;41.95424;27.93102;30.03519;0.1124924;0.9903814;534.0985;532.2185;0.1666667;1896.002;0;0.6108469;534.25;534.8133;0;0.7534789;0.6386333;0.3014524;0.1446606;0;0.8056496;5.98661;0;0;Female
0c3d688312073cebbb1a7575d2d6ffba584597f4b1c4b539e282c9973884c5b1;01.07.2015;11957;15;39.07291;40.18944;19.25024;NA;1.453197;1.802402;140.4847;138.8553;0.3525076;0;0.893956;0;215.1667;203.2325;13.38948;0.370292;9.985196;0.5558826;0;0;0.1504095;1.349005;0.8339993;0.2427355;Female
1785ad0789950250af830b6df1043a79a897275e61eb86dc7a72f9e1a7105eb8;01.03.2015;11957;15;0.5389544;0;1.075805;0;0.2273353;0.637045;0.03337878;0.3166667;0;0;0.2220153;0.7076528;28.9283;29.21636;0.7012243;0;0;0.2411339;0;0.2827532;0.7717812;0.8666057;0;0;Male
3cb51e299881edc01e638aba98028b8ce779da5e0841ea6647f2a55ba1d40467;01.06.2015;11957;15;31.79441;26.59204;27.68463;0;0.07684861;0.2332864;345.3997;339.9751;3.195757;0.3632996;2.520683;0.8071267;477.3958;471.6295;5.136489;0;3.635758;0.3787122;9.16467;0;0;1.29528;0.2994006;0.999678;Male
